Log file, Tree id within the log, Nr of nodes, Depth, Avg. depth
mpat-k6_dpu_alt0.txt,  t4,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t5,  18997,  3,  2.00
mpat-k6_dpu_alt0.txt,  t6,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t7,  18997,  3,  2.00
mpat-k6_dpu_alt0.txt,  t8,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t9,  18997,  3,  2.00
multipc-prods3_workers4_dpu_alt0.txt,  0x2b6d6d0bb6c0,  6636,  9,  5.97
multipc-prods3_workers4_dpu_alt0.txt,  0x2b6d6d0bb6e8,  484,  7,  4.31
multipc-prods3_workers4_dpu_alt0.txt,  0x2b6d6d0bb710,  2348,  9,  4.97
multipc-prods3_workers4_dpu_alt0.txt,  0x2b6d6d0bb738,  404,  7,  4.07
multipc-prods3_workers4_dpu_alt0.txt,  0x2b6d6d0bb768,  540,  11,  8.12
multipc-prods3_workers4_dpu_alt0.txt,  t0,  9,  8,  4.00
multipc-prods3_workers4_dpu_alt0.txt,  t1,  3570,  5,  3.54
multipc-prods3_workers4_dpu_alt0.txt,  t2,  298,  5,  3.43
multipc-prods3_workers4_dpu_alt0.txt,  t3,  1366,  5,  3.48
multipc-prods3_workers4_dpu_alt0.txt,  t4,  254,  5,  3.41
multipc-prods3_workers4_dpu_alt0.txt,  t5,  3280,  7,  5.84
multipc-prods3_workers4_dpu_alt0.txt,  t6,  3064,  7,  5.83
multipc-prods3_workers4_dpu_alt0.txt,  t7,  2992,  7,  5.82
multipc-prods4_workers4_dpu_alt0.txt,  0x2b85741e66c0,  18844,  5,  3.17
multipc-prods4_workers4_dpu_alt0.txt,  0x2b85741e66e8,  18844,  5,  3.17
multipc-prods4_workers4_dpu_alt0.txt,  0x2b85741e6710,  18844,  5,  3.17
multipc-prods4_workers4_dpu_alt0.txt,  0x2b85741e6738,  18844,  5,  3.17
multipc-prods4_workers4_dpu_alt0.txt,  0x2b85741e6768,  14728,  15,  12.21
multipc-prods4_workers4_dpu_alt0.txt,  t0,  10,  9,  4.50
multipc-prods4_workers4_dpu_alt0.txt,  t1,  12566,  5,  3.37
multipc-prods4_workers4_dpu_alt0.txt,  t2,  12566,  5,  3.37
multipc-prods4_workers4_dpu_alt0.txt,  t3,  12566,  5,  3.37
multipc-prods4_workers4_dpu_alt0.txt,  t4,  12566,  5,  3.37
multipc-prods4_workers4_dpu_alt0.txt,  t5,  17813,  7,  5.42
multipc-prods4_workers4_dpu_alt0.txt,  t6,  17813,  7,  5.42
multipc-prods4_workers4_dpu_alt0.txt,  t7,  17813,  7,  5.42
multipc-prods4_workers4_dpu_alt0.txt,  t8,  17813,  7,  5.42
pi-threads6_iters2000_dpu_alt0.txt,  0x2b32bc95b6c0,  3912,  11,  8.51
pi-threads6_iters2000_dpu_alt0.txt,  t0,  4347,  13,  10.37
pi-threads6_iters2000_dpu_alt0.txt,  t1,  979,  3,  2.00
pi-threads6_iters2000_dpu_alt0.txt,  t2,  979,  3,  2.00
pi-threads6_iters2000_dpu_alt0.txt,  t3,  979,  3,  2.00
pi-threads6_iters2000_dpu_alt0.txt,  t4,  979,  3,  2.00
pi-threads6_iters2000_dpu_alt0.txt,  t5,  979,  3,  2.00
pi-threads6_iters2000_dpu_alt0.txt,  t6,  979,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  0x2b409b9e96c0,  27398,  13,  10.50
pi-threads7_iters2000_dpu_alt0.txt,  t0,  34009,  15,  11.99
pi-threads7_iters2000_dpu_alt0.txt,  t1,  5872,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  t2,  5872,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  t3,  5872,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  t4,  5872,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  t5,  5872,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  t6,  5872,  3,  2.00
pi-threads7_iters2000_dpu_alt0.txt,  t7,  5872,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  0x2ac04c39f6c0,  219200,  15,  12.50
pi-threads8_iters2000_dpu_alt0.txt,  t0,  300979,  17,  13.60
pi-threads8_iters2000_dpu_alt0.txt,  t1,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t2,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t3,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t4,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t5,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t6,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t7,  41101,  3,  2.00
pi-threads8_iters2000_dpu_alt0.txt,  t8,  41101,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d636f0,  8,  3,  1.50
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63718,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63740,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63768,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63790,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d637b8,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d637e0,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63808,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63830,  2312,  7,  2.13
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63858,  4472,  7,  2.28
poke-threads10_iters3_dpu_alt0.txt,  0x2af510d63880,  52608,  59,  50.87
poke-threads10_iters3_dpu_alt0.txt,  t0,  93961,  33,  27.09
poke-threads10_iters3_dpu_alt0.txt,  t10,  2125,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t11,  48119,  45,  37.68
poke-threads10_iters3_dpu_alt0.txt,  t12,  32803,  31,  28.44
poke-threads10_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads10_iters3_dpu_alt0.txt,  t2,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t3,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t4,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t5,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t6,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t7,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t8,  1120,  3,  2.00
poke-threads10_iters3_dpu_alt0.txt,  t9,  1120,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e9186f0,  8,  3,  1.50
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918718,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918740,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918768,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918790,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e9187b8,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e9187e0,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918808,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918830,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918858,  2806,  7,  2.10
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e918880,  5444,  7,  2.24
poke-threads11_iters3_dpu_alt0.txt,  0x2ab73e9188a8,  75392,  65,  56.20
poke-threads11_iters3_dpu_alt0.txt,  t0,  135707,  35,  28.61
poke-threads11_iters3_dpu_alt0.txt,  t10,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t11,  2599,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t12,  69233,  49,  41.05
poke-threads11_iters3_dpu_alt0.txt,  t13,  43804,  33,  30.42
poke-threads11_iters3_dpu_alt0.txt,  t1,  7,  3,  1.71
poke-threads11_iters3_dpu_alt0.txt,  t2,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t3,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t4,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t5,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t6,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t7,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t8,  1363,  3,  2.00
poke-threads11_iters3_dpu_alt0.txt,  t9,  1363,  3,  2.00
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae626f0,  8,  3,  1.50
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62718,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62740,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62768,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62790,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae627b8,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae627e0,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62808,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62830,  3348,  7,  2.08
poke-threads12_iters3_dpu_alt0.txt,  0x2adb8ae62858,  3348,  7,  2.08
