Difference, Count
1, 280496
2, 279700
3, 7748
4, 154250
5, 0
6, 536
7, 0
8, 536
9, 0
10, 31752
11, 0
12, 536
13, 0
14, 536
15, 0
16, 15970
17, 0
18, 536
19, 0
20, 592
21, 0
22, 6146
23, 0
24, 888
25, 0
26, 874
27, 0
28, 780
29, 0
30, 924
