Log file, Tree id within the log, Nr of nodes, Depth, Avg. depth
poke-threads13_iters3_dpu_alt0.txt,  t11,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t12,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t13,  3691,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t2,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t3,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t4,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t5,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t6,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t7,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t8,  1921,  3,  2.00
poke-threads13_iters3_dpu_alt0.txt,  t9,  1921,  3,  2.00
mpat-k4_dpu_alt0.txt,  t2,  712,  5,  3.22
mpat-k4_dpu_alt0.txt,  t4,  712,  5,  3.22
mpat-k4_dpu_alt0.txt,  t6,  712,  5,  3.22
mpat-k4_dpu_alt0.txt,  t8,  712,  5,  3.22
mpat-k5_dpu_alt0.txt,  t10,  5698,  5,  3.22
mpat-k5_dpu_alt0.txt,  t2,  5698,  5,  3.22
mpat-k5_dpu_alt0.txt,  t4,  5698,  5,  3.22
mpat-k5_dpu_alt0.txt,  t6,  5698,  5,  3.22
mpat-k5_dpu_alt0.txt,  t8,  5698,  5,  3.22
mpat-k6_dpu_alt0.txt,  t10,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t12,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t2,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t4,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t6,  56980,  5,  3.22
mpat-k6_dpu_alt0.txt,  t8,  56980,  5,  3.22
multipc-prods4_workers4_dpu_alt0.txt,  t1,  12566,  5,  3.37
multipc-prods4_workers4_dpu_alt0.txt,  t2,  12566,  5,  3.37
multipc-prods4_workers4_dpu_alt0.txt,  t3,  12566,  5,  3.37
